timestamp,hourly_channels,hourly_viewership,channels_change,viewership_change,game_name
2024-04-19 23:00:00+00:00,0,0,-2.0,-50.0,Albion Online
2024-04-20 00:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 01:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 02:00:00+00:00,2,21,2.0,21.0,Albion Online
2024-04-20 03:00:00+00:00,2,265,0.0,244.0,Albion Online
2024-04-20 04:00:00+00:00,0,0,-2.0,-265.0,Albion Online
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 07:00:00+00:00,2,105,2.0,105.0,Albion Online
2024-04-20 08:00:00+00:00,1,6,-1.0,-99.0,Albion Online
2024-04-20 09:00:00+00:00,2,69,1.0,63.0,Albion Online
2024-04-20 10:00:00+00:00,1,465,-1.0,396.0,Albion Online
2024-04-20 11:00:00+00:00,2,78,1.0,-387.0,Albion Online
2024-04-20 12:00:00+00:00,2,70,0.0,-8.0,Albion Online
2024-04-20 13:00:00+00:00,5,181,3.0,111.0,Albion Online
2024-04-20 14:00:00+00:00,2,339,-3.0,158.0,Albion Online
2024-04-20 15:00:00+00:00,11,1036,9.0,697.0,Albion Online
2024-04-20 16:00:00+00:00,13,492,2.0,-544.0,Albion Online
2024-04-20 17:00:00+00:00,18,518,5.0,26.0,Albion Online
2024-04-20 18:00:00+00:00,20,188,2.0,-330.0,Albion Online
2024-04-20 19:00:00+00:00,14,462,-6.0,274.0,Albion Online
2024-04-18 20:00:00+00:00,1,125,,,Always On
2024-04-18 21:00:00+00:00,1,16,0.0,-109.0,Always On
2024-04-18 22:00:00+00:00,2,123,1.0,107.0,Always On
2024-04-18 23:00:00+00:00,2,98,0.0,-25.0,Always On
2024-04-19 00:00:00+00:00,0,0,-2.0,-98.0,Always On
2024-04-19 01:00:00+00:00,3,101,3.0,101.0,Always On
2024-04-19 02:00:00+00:00,0,0,-3.0,-101.0,Always On
2024-04-19 03:00:00+00:00,2,49,2.0,49.0,Always On
2024-04-19 04:00:00+00:00,1,35,-1.0,-14.0,Always On
2024-04-19 05:00:00+00:00,1,41,0.0,6.0,Always On
2024-04-19 06:00:00+00:00,4,110,3.0,69.0,Always On
2024-04-19 07:00:00+00:00,2,58,-2.0,-52.0,Always On
2024-04-19 08:00:00+00:00,2,35,0.0,-23.0,Always On
2024-04-19 09:00:00+00:00,1,47,-1.0,12.0,Always On
2024-04-19 10:00:00+00:00,1,139,0.0,92.0,Always On
2024-04-19 11:00:00+00:00,2,17,1.0,-122.0,Always On
2024-04-19 12:00:00+00:00,4,119,2.0,102.0,Always On
2024-04-19 13:00:00+00:00,3,137,-1.0,18.0,Always On
2024-04-19 14:00:00+00:00,2,89,-1.0,-48.0,Always On
2024-04-19 15:00:00+00:00,1,30,-1.0,-59.0,Always On
2024-04-19 16:00:00+00:00,5,609,4.0,579.0,Always On
2024-04-19 17:00:00+00:00,4,78,-1.0,-531.0,Always On
2024-04-19 18:00:00+00:00,1,21,-3.0,-57.0,Always On
2024-04-19 19:00:00+00:00,1,137,0.0,116.0,Always On
2024-04-19 20:00:00+00:00,2,48,1.0,-89.0,Always On
2024-04-19 21:00:00+00:00,2,38,0.0,-10.0,Always On
2024-04-19 22:00:00+00:00,0,0,-2.0,-38.0,Always On
2024-04-19 23:00:00+00:00,2,53,2.0,53.0,Always On
2024-04-20 00:00:00+00:00,3,248,1.0,195.0,Always On
2024-04-20 01:00:00+00:00,3,460,0.0,212.0,Always On
2024-04-20 02:00:00+00:00,2,49,-1.0,-411.0,Always On
2024-04-20 03:00:00+00:00,1,18,-1.0,-31.0,Always On
2024-04-20 04:00:00+00:00,1,61,0.0,43.0,Always On
2024-04-20 05:00:00+00:00,2,41,1.0,-20.0,Always On
2024-04-20 06:00:00+00:00,3,84,1.0,43.0,Always On
2024-04-20 07:00:00+00:00,4,132,1.0,48.0,Always On
2024-04-20 08:00:00+00:00,3,203,-1.0,71.0,Always On
2024-04-20 09:00:00+00:00,0,0,-3.0,-203.0,Always On
2024-04-20 10:00:00+00:00,0,0,0.0,0.0,Always On
2024-04-20 11:00:00+00:00,2,17,2.0,17.0,Always On
2024-04-20 12:00:00+00:00,4,119,2.0,102.0,Always On
2024-04-20 13:00:00+00:00,3,72,-1.0,-47.0,Always On
2024-04-20 14:00:00+00:00,3,34,0.0,-38.0,Always On
2024-04-20 15:00:00+00:00,1,8,-2.0,-26.0,Always On
2024-04-20 16:00:00+00:00,2,226,1.0,218.0,Always On
2024-04-20 17:00:00+00:00,5,1118,3.0,892.0,Always On
2024-04-20 18:00:00+00:00,5,245,0.0,-873.0,Always On
2024-04-20 19:00:00+00:00,1,36,-4.0,-209.0,Always On
2024-04-19 13:00:00+00:00,1,47,,,Among Us
2024-04-19 14:00:00+00:00,0,0,-1.0,-47.0,Among Us
2024-04-19 15:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-19 16:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-19 17:00:00+00:00,1,108,1.0,108.0,Among Us
2024-04-19 18:00:00+00:00,0,0,-1.0,-108.0,Among Us
2024-04-19 19:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-19 20:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-19 21:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-19 22:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-19 23:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 00:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 01:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 02:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 03:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 04:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 07:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 08:00:00+00:00,0,0,0.0,0.0,Among Us
2024-04-20 09:00:00+00:00,2,23,2.0,23.0,Among Us
2024-04-20 10:00:00+00:00,0,0,-2.0,-23.0,Among Us
2024-04-20 11:00:00+00:00,1,167,1.0,167.0,Among Us
2024-04-20 12:00:00+00:00,0,0,-1.0,-167.0,Among Us
2024-04-20 13:00:00+00:00,3,147,3.0,147.0,Among Us
2024-04-20 14:00:00+00:00,6,55,3.0,-92.0,Among Us
2024-04-20 15:00:00+00:00,5,193,-1.0,138.0,Among Us
2024-04-20 16:00:00+00:00,15,336,10.0,143.0,Among Us
2024-04-20 17:00:00+00:00,22,6298,7.0,5962.0,Among Us
2024-04-20 18:00:00+00:00,25,265,3.0,-6033.0,Among Us
2024-04-20 19:00:00+00:00,13,131,-12.0,-134.0,Among Us
2024-04-18 19:00:00+00:00,1,82,,,Anime Squad
2024-04-18 20:00:00+00:00,0,0,-1.0,-82.0,Anime Squad
2024-04-18 21:00:00+00:00,0,0,0.0,0.0,Anime Squad
2024-04-18 22:00:00+00:00,1,6,1.0,6.0,Anime Squad
2024-04-18 23:00:00+00:00,1,265,0.0,259.0,Anime Squad
2024-04-19 00:00:00+00:00,2,39,1.0,-226.0,Anime Squad
2024-04-19 01:00:00+00:00,1,10,-1.0,-29.0,Anime Squad
2024-04-19 02:00:00+00:00,1,49,0.0,39.0,Anime Squad
2024-04-19 03:00:00+00:00,1,289,0.0,240.0,Anime Squad
