game_name,timestamp,hourly_channels,hourly_viewership,views_per_channel
Anime Squad,2024-04-19 03:00:00+00:00,1,289,289.0
Anime Squad,2024-04-19 04:00:00+00:00,1,30,30.0
Anime Squad,2024-04-19 05:00:00+00:00,5,191,38.2
Anime Squad,2024-04-19 06:00:00+00:00,0,0,
Anime Squad,2024-04-19 07:00:00+00:00,0,0,
Anime Squad,2024-04-19 08:00:00+00:00,1,43,43.0
Anime Squad,2024-04-19 09:00:00+00:00,2,54,27.0
Anime Squad,2024-04-19 10:00:00+00:00,0,0,
Anime Squad,2024-04-19 11:00:00+00:00,3,407,135.667
Anime Squad,2024-04-19 12:00:00+00:00,0,0,
Anime Squad,2024-04-19 13:00:00+00:00,0,0,
Anime Squad,2024-04-19 14:00:00+00:00,2,33,16.5
Anime Squad,2024-04-19 15:00:00+00:00,4,76,19.0
Anime Squad,2024-04-19 16:00:00+00:00,2,14,7.0
Anime Squad,2024-04-19 17:00:00+00:00,1,19,19.0
Anime Squad,2024-04-19 18:00:00+00:00,5,100,20.0
Anime Squad,2024-04-19 19:00:00+00:00,0,0,
Anime Squad,2024-04-19 20:00:00+00:00,2,53,26.5
Anime Squad,2024-04-19 21:00:00+00:00,2,121,60.5
Anime Squad,2024-04-19 22:00:00+00:00,0,0,
Anime Squad,2024-04-19 23:00:00+00:00,2,381,190.5
Anime Squad,2024-04-20 00:00:00+00:00,1,168,168.0
Anime Squad,2024-04-20 01:00:00+00:00,3,55,18.333
Anime Squad,2024-04-20 02:00:00+00:00,1,35,35.0
Anime Squad,2024-04-20 03:00:00+00:00,0,0,
Anime Squad,2024-04-20 04:00:00+00:00,0,0,
Anime Squad,2024-04-20 05:00:00+00:00,0,0,
Anime Squad,2024-04-20 06:00:00+00:00,2,10,5.0
Anime Squad,2024-04-20 07:00:00+00:00,1,37,37.0
Anime Squad,2024-04-20 08:00:00+00:00,2,42,21.0
Anime Squad,2024-04-20 09:00:00+00:00,2,26,13.0
Anime Squad,2024-04-20 10:00:00+00:00,3,330,110.0
Anime Squad,2024-04-20 11:00:00+00:00,5,283,56.6
Anime Squad,2024-04-20 12:00:00+00:00,0,0,
Anime Squad,2024-04-20 13:00:00+00:00,3,428,142.667
Anime Squad,2024-04-20 14:00:00+00:00,7,209,29.857
Anime Squad,2024-04-20 15:00:00+00:00,3,408,136.0
Anime Squad,2024-04-20 16:00:00+00:00,9,385,42.778
Anime Squad,2024-04-20 17:00:00+00:00,7,250,35.714
Anime Squad,2024-04-20 18:00:00+00:00,8,155,19.375
Anime Squad,2024-04-20 19:00:00+00:00,3,243,81.0
Apex Legends,2024-04-20 05:00:00+00:00,1,103,103.0
Apex Legends,2024-04-20 06:00:00+00:00,0,0,
Apex Legends,2024-04-20 07:00:00+00:00,0,0,
Apex Legends,2024-04-20 08:00:00+00:00,0,0,
Apex Legends,2024-04-20 09:00:00+00:00,0,0,
Apex Legends,2024-04-20 10:00:00+00:00,2,1075,537.5
Apex Legends,2024-04-20 11:00:00+00:00,0,0,
Apex Legends,2024-04-20 12:00:00+00:00,5,440,88.0
Apex Legends,2024-04-20 13:00:00+00:00,3,252,84.0
Apex Legends,2024-04-20 14:00:00+00:00,9,1465,162.778
Apex Legends,2024-04-20 15:00:00+00:00,9,3001,333.444
